path,key,type,value,depth
sections[0].data.recommendationsTable.items[3].tasks[0],tasks[0],object,,8
sections[0].data.recommendationsTable.items[3].tasks[0].task,task,string,Realizar análise de carga de trabalho por equipe,9
sections[0].data.recommendationsTable.items[3].tasks[0].owner,owner,string,Liderança,9
sections[0].data.recommendationsTable.items[3].tasks[1],tasks[1],object,,8
sections[0].data.recommendationsTable.items[3].tasks[1].task,task,string,Identificar equipes sobrecarregadas,9
sections[0].data.recommendationsTable.items[3].tasks[1].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[3].tasks[2],tasks[2],object,,8
sections[0].data.recommendationsTable.items[3].tasks[2].task,task,string,Redistribuir tarefas e projetos,9
sections[0].data.recommendationsTable.items[3].tasks[2].owner,owner,string,Operações,9
sections[0].data.recommendationsTable.items[3].tasks[3],tasks[3],object,,8
sections[0].data.recommendationsTable.items[3].tasks[3].task,task,string,Implementar ferramentas de gestão de tempo,9
sections[0].data.recommendationsTable.items[3].tasks[3].owner,owner,string,TI,9
sections[0].data.recommendationsTable.items[3].tasks[4],tasks[4],object,,8
sections[0].data.recommendationsTable.items[3].tasks[4].task,task,string,Estabelecer limites de horas extras,9
sections[0].data.recommendationsTable.items[3].tasks[4].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[4],items[4],object,,6
sections[0].data.recommendationsTable.items[4].id,id,number,5,7
sections[0].data.recommendationsTable.items[4].recommendation,recommendation,string,Criar Programa de Reconhecimento e Recompensas,7
sections[0].data.recommendationsTable.items[4].severity,severity,string,low,7
sections[0].data.recommendationsTable.items[4].stakeholders,stakeholders,array,,7
sections[0].data.recommendationsTable.items[4].stakeholders[0],stakeholders[0],string,Recursos Humanos,8
sections[0].data.recommendationsTable.items[4].stakeholders[1],stakeholders[1],string,Liderança,8
sections[0].data.recommendationsTable.items[4].stakeholders[2],stakeholders[2],string,Financeiro,8
sections[0].data.recommendationsTable.items[4].tasks,tasks,array,,7
sections[0].data.recommendationsTable.items[4].tasks[0],tasks[0],object,,8
sections[0].data.recommendationsTable.items[4].tasks[0].task,task,string,Definir critérios de reconhecimento,9
sections[0].data.recommendationsTable.items[4].tasks[0].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[4].tasks[1],tasks[1],object,,8
sections[0].data.recommendationsTable.items[4].tasks[1].task,task,string,Criar sistema de pontos e recompensas,9
sections[0].data.recommendationsTable.items[4].tasks[1].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[4].tasks[2],tasks[2],object,,8
sections[0].data.recommendationsTable.items[4].tasks[2].task,task,string,Aprovar orçamento para programa,9
sections[0].data.recommendationsTable.items[4].tasks[2].owner,owner,string,Financeiro,9
sections[0].data.recommendationsTable.items[4].tasks[3],tasks[3],object,,8
sections[0].data.recommendationsTable.items[4].tasks[3].task,task,string,Lançar programa piloto,9
sections[0].data.recommendationsTable.items[4].tasks[3].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[4].tasks[4],tasks[4],object,,8
sections[0].data.recommendationsTable.items[4].tasks[4].task,task,string,Avaliar resultados e expandir,9
sections[0].data.recommendationsTable.items[4].tasks[4].owner,owner,string,Liderança,9
sections[1],sections[1],object,,2
sections[1].id,id,string,engagement,3
sections[1].index,index,number,1,3
sections[1].name,name,string,Análise de Engajamento,3
sections[1].icon,icon,string,Heart,3
sections[1].subsections,subsections,array,,3
sections[1].subsections[0],subsections[0],object,,4
sections[1].subsections[0].id,id,string,engagement-sentiment,5
sections[1].subsections[0].index,index,number,0,5
sections[1].subsections[0].name,name,string,Sentimento Geral,5
sections[1].subsections[0].icon,icon,string,Smile,5
sections[1].subsections[0].components,components,array,,5
sections[1].subsections[0].components[0],components[0],object,,6
sections[1].subsections[0].components[0].type,type,string,card,7
sections[1].subsections[0].components[0].index,index,number,0,7
sections[1].subsections[0].components[0].useDescription,useDescription,boolean,true,7
sections[1].subsections[0].components[0].text,text,string,"A análise de sentimento foi realizada com base nas respostas dos funcionários sobre diferentes aspectos do ambiente de trabalho.
Foram analisadas 2.450 menções em 7 categorias principais.
Os resultados mostram predominância de sentimentos positivos em trabalho em equipe, desenvolvimento profissional e flexibilidade.
Enquanto comunicação interna, carga de trabalho e processos burocráticos apresentam maior proporção de sentimentos negativos.",7
sections[1].subsections[0].components[0].cardStyleVariant,cardStyleVariant,string,default,7
sections[1].subsections[0].components[0].cardContentVariant,cardContentVariant,string,with-description,7
sections[1].subsections[0].components[0].components,components,array,,7
sections[1].subsections[0].components[0].components[0],components[0],object,,8
sections[1].subsections[0].components[0].components[0].type,type,string,sentimentDivergentChart,9
sections[1].subsections[0].components[0].components[0].index,index,number,0,9
sections[1].subsections[0].components[0].components[0].dataPath,dataPath,string,sectionData.sentimentDivergentChart,9
sections[1].subsections[0].components[0].components[0].config,config,object,,9
sections[1].subsections[0].components[0].components[0].config.yAxisDataKey,yAxisDataKey,string,category,10
sections[1].subsections[1],subsections[1],object,,4
sections[1].subsections[1].id,id,string,engagement-segmentation,5
sections[1].subsections[1].index,index,number,1,5
sections[1].subsections[1].name,name,string,Segmentação por Departamento,5
sections[1].subsections[1].icon,icon,string,Users2,5
sections[1].subsections[1].components,components,array,,5
sections[1].subsections[1].components[0],components[0],object,,6
sections[1].subsections[1].components[0].type,type,string,card,7
sections[1].subsections[1].components[0].index,index,number,0,7
sections[1].subsections[1].components[0].title,title,string,,7
sections[1].subsections[1].components[0].text,text,string,,7
sections[1].subsections[1].components[0].cardStyleVariant,cardStyleVariant,string,overflow-hidden,7
sections[1].subsections[1].components[0].components,components,array,,7
sections[1].subsections[1].components[0].components[0],components[0],object,,8
sections[1].subsections[1].components[0].components[0].type,type,string,segmentationTable,9
sections[1].subsections[1].components[0].components[0].index,index,number,0,9
sections[1].subsections[1].components[0].components[0].dataPath,dataPath,string,sectionData.segmentationTable,9
sections[1].subsections[2],subsections[2],object,,4
sections[1].subsections[2].id,id,string,retention-intent,5
sections[1].subsections[2].index,index,number,2,5
sections[1].subsections[2].name,name,string,Intenção de Permanência,5
sections[1].subsections[2].icon,icon,string,Target,5
sections[1].subsections[2].components,components,array,,5
sections[1].subsections[2].components[0],components[0],object,,6
sections[1].subsections[2].components[0].type,type,string,card,7
sections[1].subsections[2].components[0].index,index,number,0,7
sections[1].subsections[2].components[0].text,text,string,"A análise de intenção de permanência revela que 58% dos funcionários pretendem permanecer na empresa nos próximos 2 anos, enquanto 22% estão considerando outras oportunidades e 20% estão indecisos.
Este resultado indica uma base sólida de retenção, mas também sinaliza a necessidade de ações proativas para manter os talentos e engajar os funcionários indecisos.",7
sections[1].subsections[2].components[0].cardStyleVariant,cardStyleVariant,string,default,7
sections[1].subsections[2].components[0].components,components,array,,7
sections[1].subsections[2].components[0].components[0],components[0],object,,8
sections[1].subsections[2].components[0].components[0].type,type,string,barChart,9
sections[1].subsections[2].components[0].components[0].index,index,number,0,9
sections[1].subsections[2].components[0].components[0].dataPath,dataPath,string,sectionData.retentionIntentChart,9
sections[1].subsections[2].components[0].components[0].config,config,object,,9
sections[1].subsections[2].components[0].components[0].config.dataKey,dataKey,string,percentage,10
sections[1].subsections[2].components[0].components[0].config.yAxisDataKey,yAxisDataKey,string,intent,10
sections[1].data,data,object,,3
sections[1].data.sentimentDivergentChart,sentimentDivergentChart,array,,4
sections[1].data.sentimentDivergentChart[0],sentimentDivergentChart[0],object,,5
sections[1].data.sentimentDivergentChart[0].category,category,string,Trabalho em Equipe,6
sections[1].data.sentimentDivergentChart[0].positive,positive,number,72.3,6
sections[1].data.sentimentDivergentChart[0].neutral,neutral,number,18.5,6
sections[1].data.sentimentDivergentChart[0].negative,negative,number,9.2,6
sections[1].data.sentimentDivergentChart[1],sentimentDivergentChart[1],object,,5
sections[1].data.sentimentDivergentChart[1].category,category,string,Desenvolvimento Profissional,6
sections[1].data.sentimentDivergentChart[1].positive,positive,number,68.1,6
sections[1].data.sentimentDivergentChart[1].neutral,neutral,number,22.4,6
sections[1].data.sentimentDivergentChart[1].negative,negative,number,9.5,6
sections[1].data.sentimentDivergentChart[2],sentimentDivergentChart[2],object,,5
sections[1].data.sentimentDivergentChart[2].category,category,string,Flexibilidade,6
sections[1].data.sentimentDivergentChart[2].positive,positive,number,65.2,6
sections[1].data.sentimentDivergentChart[2].neutral,neutral,number,25.8,6
sections[1].data.sentimentDivergentChart[2].negative,negative,number,9,6
sections[1].data.sentimentDivergentChart[3],sentimentDivergentChart[3],object,,5
sections[1].data.sentimentDivergentChart[3].category,category,string,Liderança,6
sections[1].data.sentimentDivergentChart[3].positive,positive,number,58.7,6
sections[1].data.sentimentDivergentChart[3].neutral,neutral,number,28.3,6
sections[1].data.sentimentDivergentChart[3].negative,negative,number,13,6
sections[1].data.sentimentDivergentChart[4],sentimentDivergentChart[4],object,,5
sections[1].data.sentimentDivergentChart[4].category,category,string,Comunicação Interna,6
sections[1].data.sentimentDivergentChart[4].positive,positive,number,32.5,6
sections[1].data.sentimentDivergentChart[4].neutral,neutral,number,22.5,6
sections[1].data.sentimentDivergentChart[4].negative,negative,number,45,6
sections[1].data.sentimentDivergentChart[5],sentimentDivergentChart[5],object,,5
sections[1].data.sentimentDivergentChart[5].category,category,string,Carga de Trabalho,6
sections[1].data.sentimentDivergentChart[5].positive,positive,number,18.2,6
sections[1].data.sentimentDivergentChart[5].neutral,neutral,number,29.8,6
sections[1].data.sentimentDivergentChart[5].negative,negative,number,52,6
sections[1].data.sentimentDivergentChart[6],sentimentDivergentChart[6],object,,5
sections[1].data.sentimentDivergentChart[6].category,category,string,Processos Burocráticos,6
sections[1].data.sentimentDivergentChart[6].positive,positive,number,15.5,6
sections[1].data.sentimentDivergentChart[6].neutral,neutral,number,36.5,6
sections[1].data.sentimentDivergentChart[6].negative,negative,number,48,6
sections[1].data.segmentationTable,segmentationTable,array,,4
sections[1].data.segmentationTable[0],segmentationTable[0],object,,5
sections[1].data.segmentationTable[0].cluster,cluster,string,Engajados e Satisfeitos,6
sections[1].data.segmentationTable[0].description,description,string,"Funcionários altamente engajados que valorizam o ambiente de trabalho, oportunidades de crescimento e reconhecimento.",6
sections[1].data.segmentationTable[0].percentage,percentage,number,42.3,6
sections[1].data.segmentationTable[0].id,id,number,1,6
sections[1].data.segmentationTable[0].characteristics,characteristics,array,,6
sections[1].data.segmentationTable[0].characteristics[0],characteristics[0],string,Alto engajamento,7
sections[1].data.segmentationTable[0].characteristics[1],characteristics[1],string,Satisfação com liderança,7
sections[1].data.segmentationTable[0].characteristics[2],characteristics[2],string,Valorizam desenvolvimento,7
sections[1].data.segmentationTable[1],segmentationTable[1],object,,5
sections[1].data.segmentationTable[1].cluster,cluster,string,Satisfeitos mas Buscando Crescimento,6
sections[1].data.segmentationTable[1].description,description,string,"Funcionários satisfeitos com a empresa, mas que buscam mais oportunidades de desenvolvimento e crescimento.",6
sections[1].data.segmentationTable[1].percentage,percentage,number,28.5,6
sections[1].data.segmentationTable[1].id,id,number,2,6
sections[1].data.segmentationTable[1].characteristics,characteristics,array,,6
sections[1].data.segmentationTable[1].characteristics[0],characteristics[0],string,Satisfação moderada,7
sections[1].data.segmentationTable[1].characteristics[1],characteristics[1],string,Busca por crescimento,7
sections[1].data.segmentationTable[1].characteristics[2],characteristics[2],string,Necessita mais desafios,7
sections[1].data.segmentationTable[2],segmentationTable[2],object,,5
sections[1].data.segmentationTable[2].cluster,cluster,string,Neutros com Preocupações,6
sections[1].data.segmentationTable[2].description,description,string,"Funcionários neutros que expressam preocupações sobre comunicação, processos e carga de trabalho.",6
sections[1].data.segmentationTable[2].percentage,percentage,number,18.2,6
sections[1].data.segmentationTable[2].id,id,number,3,6
sections[1].data.segmentationTable[2].characteristics,characteristics,array,,6
sections[1].data.segmentationTable[2].characteristics[0],characteristics[0],string,Neutros,7
sections[1].data.segmentationTable[2].characteristics[1],characteristics[1],string,Preocupações com processos,7
sections[1].data.segmentationTable[2].characteristics[2],characteristics[2],string,Comunicação insuficiente,7
sections[1].data.segmentationTable[3],segmentationTable[3],object,,5
sections[1].data.segmentationTable[3].cluster,cluster,string,Insatisfeitos Críticos,6
sections[1].data.segmentationTable[3].description,description,string,"Funcionários insatisfeitos com múltiplos aspectos: carga de trabalho, comunicação, processos e reconhecimento.",6
sections[1].data.segmentationTable[3].percentage,percentage,number,8.5,6
sections[1].data.segmentationTable[3].id,id,number,4,6
sections[1].data.segmentationTable[3].characteristics,characteristics,array,,6
sections[1].data.segmentationTable[3].characteristics[0],characteristics[0],string,Alta insatisfação,7
sections[1].data.segmentationTable[3].characteristics[1],characteristics[1],string,Sobrecarga de trabalho,7
sections[1].data.segmentationTable[3].characteristics[2],characteristics[2],string,Falta de reconhecimento,7
sections[1].data.segmentationTable[4],segmentationTable[4],object,,5
sections[1].data.segmentationTable[4].cluster,cluster,string,Outros,6
sections[1].data.segmentationTable[4].description,description,string,Grupo de pequenos segmentos que não formam clusters estatisticamente relevantes.,6
sections[1].data.segmentationTable[4].percentage,percentage,number,2.5,6
sections[1].data.segmentationTable[4].characteristics,characteristics,array,,6
sections[1].data.segmentationTable[4].characteristics[0],characteristics[0],string,Segmentos diversos,7
sections[1].data.segmentationTable[4].characteristics[1],characteristics[1],string,Baixa representatividade,7
sections[1].data.segmentationTable[4].characteristics[2],characteristics[2],string,Agrupamento residual,7
sections[1].data.retentionIntentChart,retentionIntentChart,array,,4
sections[1].data.retentionIntentChart[0],retentionIntentChart[0],object,,5
sections[1].data.retentionIntentChart[0].intent,intent,string,Pretende permanecer na empresa,6
sections[1].data.retentionIntentChart[0].percentage,percentage,number,58,6
sections[1].data.retentionIntentChart[0].count,count,number,493,6
sections[1].data.retentionIntentChart[1],retentionIntentChart[1],object,,5
sections[1].data.retentionIntentChart[1].intent,intent,string,Indeciso sobre permanência,6
sections[1].data.retentionIntentChart[1].percentage,percentage,number,20,6
sections[1].data.retentionIntentChart[1].count,count,number,170,6
sections[1].data.retentionIntentChart[2],retentionIntentChart[2],object,,5
sections[1].data.retentionIntentChart[2].intent,intent,string,Considerando outras oportunidades,6
sections[1].data.retentionIntentChart[2].percentage,percentage,number,22,6
sections[1].data.retentionIntentChart[2].count,count,number,187,6
sections[2],sections[2],object,,2
sections[2].id,id,string,attributes,3
sections[2].index,index,number,2,3
sections[2].name,name,string,Análise por Atributos,3
sections[2].icon,icon,string,Layers,3
sections[2].defaultIcon,defaultIcon,string,Building,3
sections[2].subsections,subsections,array,,3
sections[2].subsections[0],subsections[0],object,,4
sections[2].subsections[0].id,id,string,attributes-department,5
sections[2].subsections[0].index,index,number,0,5
sections[2].subsections[0].name,name,string,Por Departamento,5
sections[2].subsections[0].icon,icon,string,Building,5
sections[2].subsections[0].components,components,array,,5
sections[2].subsections[0].components[0],components[0],object,,6
sections[2].subsections[0].components[0].type,type,string,card,7
sections[2].subsections[0].components[0].index,index,number,0,7
sections[2].subsections[0].components[0].title,title,string,Sumário,7
sections[2].subsections[0].components[0].text,text,string,"A análise por departamento revela diferenças significativas na satisfação dos funcionários.
Engenharia e Marketing apresentam os maiores índices de satisfação, com NPS positivo de 42 e 38 respectivamente.
Vendas e Operações demonstram maior insatisfação, com NPS negativo de -15 e -22.
Estas diferenças indicam a necessidade de abordagens personalizadas por departamento para melhorar o engajamento.",7
sections[2].subsections[0].components[0].cardStyleVariant,cardStyleVariant,string,default,7
sections[2].subsections[0].components[1],components[1],object,,6
sections[2].subsections[0].components[1].type,type,string,grid-container,7
sections[2].subsections[0].components[1].index,index,number,1,7
sections[2].subsections[0].components[1].components,components,array,,7
sections[2].subsections[0].components[1].components[0],components[0],object,,8
sections[2].subsections[0].components[1].components[0].type,type,string,card,9
sections[2].subsections[0].components[1].components[0].index,index,number,0,9
sections[2].subsections[0].components[1].components[0].title,title,string,Distribuição dos respondentes,9
sections[2].subsections[0].components[1].components[0].cardStyleVariant,cardStyleVariant,string,flex-column,9
sections[2].subsections[0].components[1].components[0].cardContentVariant,cardContentVariant,string,with-charts,9
sections[2].subsections[0].components[1].components[0].components,components,array,,9
sections[2].subsections[0].components[1].components[0].components[0],components[0],object,,10
sections[2].subsections[0].components[1].components[0].components[0].type,type,string,barChart,11
sections[2].subsections[0].components[1].components[0].components[0].index,index,number,0,11
sections[2].subsections[0].components[1].components[0].components[0].dataPath,dataPath,string,sectionData.department.distributionChart,11
sections[2].subsections[0].components[1].components[0].components[0].config,config,object,,11
sections[2].subsections[0].components[1].components[0].components[0].config.dataKey,dataKey,string,percentage,12
sections[2].subsections[0].components[1].components[0].components[0].config.yAxisDataKey,yAxisDataKey,string,segment,12
sections[2].subsections[0].components[1].components[0].components[1],components[1],object,,10
